1901	+0005
1902	+0005
1903	+0005
1904	+0005
1905	+0010
1906	+0010
1907	+0149
1908	+0149
1909	+0149
1910	+0149
1911	+0149
1912	+0149
1913	+0149
1914	+0149
1915	+0146
1916	+0181
1917	+0181
1918	+0181
1919	+0181
1920	+0181
1921	+0181
1922	+0181
1923	+0181
1924	+0181
1925	+0181
1926	+0024
1927	+0011
1928	+0011
1929	+0011
1930	+0000
