1901	317	-333	46.663518659558264
1902	244	-328	21.67981721249048
1903	289	-306	48.21440638918753
1904	256	-294	33.33409298085688
1905	283	-328	43.336534064929126
1906	294	-250	47.072341980270366
1907	283	-350	31.785387291704815
1908	289	-378	28.836573511543136
1909	278	-378	26.56835678258561
1910	294	-372	35.56442119032047
1911	306	-378	30.7147166841553
1912	322	-411	16.775767829255596
1913	300	-372	29.984888380080136
1914	333	-378	29.807753888380603
1915	294	-411	5.1087229907396825
1916	278	-289	21.332571950662402
1917	317	-478	22.927035681610246
1918	322	-450	31.36519845111326
1919	378	-428	27.594954907855183
1920	294	-344	43.52100058173357
1921	283	-417	34.145592112805225
1922	278	-400	27.031095243579408
1923	294	-394	26.80775760741805
1924	294	-456	38.28488601923837
1925	317	-378	37.88700195950359
1926	489	-422	38.21331641120766
1927	489	-400	75.78620166793026
1928	378	-239	75.86650656872439
1929	328	-400	94.6890286961546
1930	400	-311	109.43468607952886
